CNPJ_ENVIADO;TITULO_ENVIADO;PARCELA_ENVIADA
2619131;001197822-1;1
2619131;001197821-1;1
2347920;001197746-1;1
1788626;001197262-1;1
1596973;001195553-1;1
2535968;001195717-1;1
1594423;001192163-1;1
1594423;001192162-1;1
1594423;001192164-1;1
1594423;001192160-1;1
1594423;001192161-1;1
2666209;001192185-1;1
1634703;000369438-1;1
2655574;000368167-1;1
1034330;000367658-1;1
2665563;000363021-1;1
1023569;000369517-1;1
1353044;000367551-1;1
1792282;000368973-1;1
1831205;000369120-1;1
1831205;000369119-1;1
1300865;000364035-1;1
1611544;000369338-1;1
1774829;000369230-1;1
1815421;000369307-1;1
1632889;000362977-1;1
2014100;000363616-1;1
2468233;000367975-1;1
1689660;000292276-1;1
1691688;000297309-1;1
1691688;000297308-1;1
1689573;000297425-1;1
1693177;000297461-1;1
1733640;000295824-1;1
1691517;000295956-1;1
1757342;000297450-1;1
1761969;000295687-1;1
1760806;000292966-1;1
1695755;000297380-1;1
1695755;000297379-1;1
1693324;000292556-1;1
1693324;000292547-1;1
1693324;000292580-1;1
1693324;000292570-1;1
1693324;000292565-1;1
1693324;000292560-1;1
1693324;000292577-1;1
1693324;000292574-1;1
1829558;000297499-1;1
1829558;000297498-1;1
1628660;000289269-1;1
1628660;000289268-1;1
2697882;000291591-1;1
2516891;000284821-1;1
1764021;000289616-1;1
1764021;000289617-1;1
2392152;000290323-1;1
2392152;000290306-1;1
1797322;000291778-1;1
2630790;000291861-1;1
2630790;000291864-1;1
